Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-08-29 00:00:00+00:00,All,All,All,VA-Northern_Neck,411.36615384615385,0.9938461538461539,1.1353846153846154,1
2021-08-29 00:00:00+00:00,All,All,All,VA-Pamunkey,387.25,10.0,11.5,0
2021-08-29 00:00:00+00:00,All,All,All,WA-Chelan,125.5,8.0,7.75,0
2021-08-29 00:00:00+00:00,All,All,All,WI-Douglas,155.0,4.0,3.75,0
2021-08-29 00:00:00+00:00,All,All,All,WI-Manitowoc,436.0,6.5,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Northwestern,662.25,11.0,8.0,0
2021-08-29 00:00:00+00:00,All,All,All,NM-San_Juan,527.75,18.25,17.0,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Northwest,560.75,16.75,10.75,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Warren,295.5,12.0,12.5,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Nevada,59.75,1.75,0.75,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Ouachita,105.25,1.25,0.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Brevard,1891.2968036529678,6.538812785388126,0.0,1
2021-08-29 00:00:00+00:00,All,All,All,GA-Coweta,420.0,13.25,12.0,0
2021-08-29 00:00:00+00:00,All,All,All,IA-Clinton,164.0,10.0,10.5,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Calloway,338.0,6.0,8.0,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Grayson,711.75,12.75,9.5,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Larue,259.0,7.5,8.5,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Mason,171.75,1.75,2.0,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Franklin,819.5,2.0,13.5,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Rapides,900.5,20.5,10.25,0
2021-08-29 00:00:00+00:00,All,All,All,LA-West_Feliciana,111.75,0.5,0.5,0
2021-08-29 00:00:00+00:00,All,All,All,MO-Boone,228.75,8.75,6.1410256410256405,0
2021-08-29 00:00:00+00:00,All,All,All,MO-Saline,61.5,1.5,1.5,0
2021-08-29 00:00:00+00:00,All,All,All,TN-Robertson,260.0,9.75,4.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Virginia_Peninsula,722.0,10.0,11.5,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Riverside,1099.25,13.5,12.75,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Sebastian,389.0,16.25,12.75,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Broward,6924.5,125.0,126.0,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Hamilton,297.0,10.25,10.0,0
2021-08-29 00:00:00+00:00,All,All,All,LA-East_Baton_Rouge,1260.0,18.5,11.5,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Jefferson,1109.25,16.5,16.75,0
2021-08-29 00:00:00+00:00,All,All,All,MO-Clay,450.5,20.0,12.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Fort_Bend,759.75,32.75,24.5,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Western_Virginia,789.0,8.0,7.25,0
2021-08-29 00:00:00+00:00,All,All,All,WA-Pierce_Puyallup,75.5,8.0,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Crawford,263.0,8.25,11.0,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Bartow,586.0,14.25,10.0,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Lowndes,1464.5,33.5,27.0,0
2021-08-29 00:00:00+00:00,All,All,All,IA-Dallas,60.0,4.0,5.25,0
2021-08-29 00:00:00+00:00,All,All,All,IL-DuPage,461.5,21.75,14.5,0
2021-08-29 00:00:00+00:00,All,All,All,NY-Oneida,333.0,5.5,7.5,0
2021-08-29 00:00:00+00:00,All,All,All,OK-McClain,98.5,3.0,2.25,0
2021-08-29 00:00:00+00:00,All,All,All,SC-Berkeley,433.25,9.75,13.75,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Denton,1111.25,26.0,29.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Ector,837.0,23.75,23.75,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Liberty,304.75,8.25,12.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-McLennan,1287.5,13.6,10.2,1
2021-08-29 00:00:00+00:00,All,All,All,TX-Williamson,581.0,15.75,19.25,0
2021-08-29 00:00:00+00:00,All,All,All,WA-Franklin,301.5,15.0,12.5,0
2021-08-29 00:00:00+00:00,All,All,All,WA-Walla_Walla,58.0,4.75,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Roanoke,290.5,16.0,9.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Middle_River,802.25,7.75,7.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Red_River,68.75,1.0,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Rusk,129.0,3.25,3.5,0
